Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Scrypt,0,63613903.880998,250000000.0
SHA-512,2,60045900.0,545399000.0
SHA-256,2,57811001.000889,100262205.0
DPoS,2,18194936.0,18081806.0
X16R,2,8125865.02097646,22075700.0
HMQ1725,2,8645406.16776286,21000000.0
X11,2,4993030.69736615,21000000.0
Scrypt,2,8240763.49472804,15600000.0
X16R,0,36923120.6205934,82546564.0
Quark,2,7082392.24744494,21000000.0
Quark,0,5919489.76813523,5151000.0
Scrypt,2,1042012.45227735,16880000000.0
Lyra2REv2,0,13332617.9413708,52500000.0
Quark,2,66053877.6256106,100000000.0
Scrypt,2,1416663.06600024,22105263.0
Scrypt,2,269143950.637501,1000000000.0
Scrypt,0,5403802.49590733,1000000000.0
CryptoNight-V7,2,15580199.3087496,1750000000.0
Cryptonight-GPU,2,4890897.0,88188888.0
XEVAN,2,14746153.0962884,210000000.0
CryptoNight Heavy,2,99553110528.8022,184470000000.0
CryptoNight,2,484454200.0,1000000000.0
X11,2,19269509.94,55000000.0
X11,2,26709236.7607446,50000000.0
X11,0,30771125.976086702,50000000.0
Scrypt,2,107763867.917675,260000000.0
PoS,2,9327131.59708692,210000000.0
SHA-256,2,2100000000.0,2100000000.0
Keccak,0,4672513.84432375,366000000.0
X11,2,4504639.0,100000000.0
X11,2,5015881.37315389,25000000.0
Tribus,0,1859475.60962,36500000.0
Scrypt,0,1059954080.4343901,18000000000.0
NeoScrypt,0,2381470.97805063,21000000.0
SHA-512,2,1000000000.0,1000000000.0
X16R,2,9753753.61515394,100000000.0
ECC 256K1,2,1000000000.0,1000000000.0
Equihash,2,4235111504.0,7600000000.0
XEVAN,2,6787405.18013774,50000000.0
HMQ1725,2,75579791.70522141,207000000.0
Lyra2Z,2,13634850.0,84000000.0
SHA-512,2,200000000.0,200000000.0
SHA-256,2,17992514.6469233,21000000.0
Quark,2,14303114.6740944,38000000.0
PHI1612,2,13969583.3757376,64000000.0
XEVAN,1,208515864.36734298,70000000000.0
X11,2,17209923728.3266,0.0
CryptoNight,2,1867054873.2839699,8080000000.0
Quark,0,35312185.7437239,54000000.0
Blake,2,20595483.8480416,21000000.0
Blake,2,1578281.31341127,105120001.44
Blake,2,15846721.248274697,25228800.0
Blake,2,24156921.986802302,7000000000.0
Equihash,2,13475920.0,105000000.0
Exosis,2,406091.925,21000000.0
Scrypt,2,35284717.173946,120000000.0
Scrypt,0,14777549.394076401,21000000.0
Equihash,2,35687520.0,262800000.0
Quark,0,18265011.248600602,19035999.0
Equihash,2,25150787.5,30886000.0
Quark,2,1934701.67524713,13370000.0
Scrypt,0,30825710000.0296,74800000000.0
Lyra2REv2,2,6040583.72997153,32700000.0
QuBit,2,12925790.4226959,100000000.0
X11,2,715659.44237941,19700000.0
Scrypt,0,20546528.2059957,84000000.0
XEVAN,0,198938144.363399,500000000.0
SHA-256D,0,896361168.0,5000000000.0
X11,0,15420234.5389336,420000000.0
SHA-256,2,52293836.62779579,64000000.0
X13,2,1170292.5,2100000.0
SHA-256,2,84613099.9999955,168000000.0
X11,0,23775960.3207514,30000000.0
DPoS,2,1000000000.0,1000000000.0
Ethash,2,10000000000.0,10000000000.0
Scrypt,0,15318887081.0146,35000000000.0
Scrypt,2,55565076.3863525,98100000000.0
X11,0,242574105.22384,0.0
NeoScrypt,2,3824685012.0,4000000000.0
Scrypt,0,3537150.0,200000000.0
Blake,2,23356790.1494191,7000000000.0
Scrypt,0,20576532.0,54256119.0
SHA-256,2,4392258.24647793,21000000.0
Scrypt,0,9631199.99309942,0.0
X11,0,436353624.49031204,500000000.0
Scrypt,2,780210700.0,1000000000.0
Scrypt,0,980732528.97974,10500000000.0
SHA-256,0,17939725045.334,190000000.0
X11,0,494240666.028571,1000000000.0
SHA-256,2,22986929.0854247,42000000.0
Scrypt,0,60000000.0,15000000.0
Scrypt,2,29583989322.9213,50000000000.0
Scrypt,0,404316475.545465,400000000.0
Groestl,2,73298203.8873662,105000000.0
X11,0,201364327.427503,208000000.0
Scrypt,0,103621876.167052,160000000.0
PoS,2,3821245.74150193,9000000.0
Scrypt,2,5052555.91981545,5000000.0
Scrypt,2,69684455.4387001,182000000.0
X11,2,16901016.6609755,16504333.0
SHA-256,0,74676064.9488608,105000000.0
DPoS,2,120012140.0,159918400.0
Scrypt,2,10000244677.7002,10008835635.0
Scrypt,0,252005564.19257003,300000000.0
NeoScrypt,0,1120385.00502,60168145.0
Multiple,2,3332922.5,2800000.0
X13,0,140777.753365,120000.0
Equihash+Scrypt,2,100000000.0,2100000000.0
Lyra2Z,2,40874452.4756771,210000000.0
PHI2,0,2233828.12953048,21000000.0
DPoS,2,1020544523.0722,0.0
Ethash,2,24487944.095820397,24487944.0
DPoS,2,1122382283.37,0.0
SHA-256,2,1000000000.0,1000000000.0
Lyra2Z,0,11086825523.3769,100000000000.0
Leased POS,2,100000000.0,100000000.0
PoS,2,9283137.5558676,8634140.0
Scrypt,2,24924986.0946492,900000000.0
TRC10,2,989988713439.649,990000000000.0
Equihash,2,11000068.2715789,11000000.0
PoS,2,1000000000.0,1000000000.0
SHA-256,2,1999999995.3056,2000000000.0
Scrypt,0,14931046.1546605,250000000.0
CryptoNight,2,980222595.0,1400222610.0
Equihash,2,7296537.5,21000000.0
Scrypt,2,128326.99633965,1000000.0
Scrypt,0,21491213.4644496,100000000.0
